gene,bnumber,uniprot_accession,tf_entities,tf_regulondb_ids,num_tf_entities,regulondb_version
relB,b1564,P0C079,RelB|RelBE,RDBECOLITFC00151|RDBECOLITFC00161,2,14.5
dicA,b1570,P06966,DicA,RDBECOLITFC00172,1,14.5
mlc,b1594,P50456,Mlc,RDBECOLITFC00023,1,14.5
rstA,b1608,P52108,RstA,RDBECOLITFC00212,1,14.5
uidR,b1618,P0ACT6,UidR,RDBECOLITFC00228,1,14.5
malI,b1620,P18811,MalI,RDBECOLITFC00109,1,14.5
slyA,b1642,P0A8W2,SlyA,RDBECOLITFC00183,1,14.5
nemR,b1649,P67430,NemR,RDBECOLITFC00002,1,14.5
purR,b1658,P0ACP7,PurR,RDBECOLITFC00150,1,14.5
punR,b1659,P0ACR2,PunR,RDBECOLITFC00214,1,14.5
ydiP,b1696,P77402,YdiP,RDBECOLITFC00156,1,14.5
ihfA,b1712,P0A6X7,IHF,RDBECOLITFC00140,1,14.5
chbR,b1735,P17410,ChbR,RDBECOLITFC00065,1,14.5
nimR,b1790,P76241,NimR,RDBECOLITFC00224,1,14.5
kdgR,b1827,P76268,KdgR,RDBECOLITFC00141,1,14.5
yebK,b1853,P46118,YebK,RDBECOLITFC00219,1,14.5
flhC,b1891,P0ABY7,FlhDC,RDBECOLITFC00218,1,14.5
flhD,b1892,P0A8S9,FlhDC,RDBECOLITFC00218,1,14.5
uvrY,b1914,P0AED5,UvrY,RDBECOLITFC00035,1,14.5
sdiA,b1916,P07026,SdiA,RDBECOLITFC00194,1,14.5
fliZ,b1921,P52627,FliZ,RDBECOLITFC00178,1,14.5
rcsA,b1951,P0DMC9,RcsAB,RDBECOLITFC00173,1,14.5
hprR,b1969,P76340,HprR,RDBECOLITFC00118,1,14.5
cbl,b1987,Q47083,Cbl,RDBECOLITFC00149,1,14.5
nac,b1988,Q47005,Nac,RDBECOLITFC00104,1,14.5
yefM,b2017,P69346,YefM|YefMB,RDBECOLITFC00056|RDBECOLITFC00168,2,14.5
baeR,b2079,P69228,BaeR,RDBECOLITFC00111,1,14.5
yegW,b2101,P0ACM5,YegW,RDBECOLITFC00239,1,14.5
rcnR,b2105,P64530,RcnR,RDBECOLITFC00011,1,14.5
btsR,b2125,P0AFT5,BtsR,RDBECOLITFC00177,1,14.5
mlrA,b2127,P33358,MlrA,RDBECOLITFC00013,1,14.5
galS,b2151,P25748,GalS,RDBECOLITFC00114,1,14.5
